Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:15275300150016,HAJI SUPERSTORE (ROCHDALE) LTD,,,,42-48 TWEEDALE STREET,ROCHDALE,,,OL11 1HH,15.04.2016,33250,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:1527530081348,SPOT ON COMPUTERS LTD,,,,126 MILKSTONE ROAD,ROCHDALE,,,OL11 1NU,01.05.2020,15750,Shop and Premises,N,,0,0,N,Y,N
Ref:15275392255889,YOGURTOLOGY LTD,,,,36 TWEEDALE STREET,ROCHDALE,,,OL11 1HH,12.08.2023,7400,CAFE AND PREMISES,N,,0,0,Y,N,N
Ref:15275396485984,CASTLEMERE COMMUNITY CENTRE,,CASTLEMERE COMMUNITY CENTRE,,TWEEDALE STREET,ROCHDALE,LANCASHIRE,,OL11 1HH,01.04.2005,6100,COMMUNITY CENTRE AND PREMISES,N,,0,80,N,N,Y
Ref:15275396784531,CHAAR GRILL LTD,,,,GND FLR,40 TWEEDALE STREET,ROCHDALE,,OL11 1HH,21.02.2023,10250,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15296200010088,IG & JB FLOORING LTD,,FORMER BALLS SHOES LTD,,UNION STREET,ROCHDALE,LANCASHIRE,,OL16 1DY,07.11.2014,40000,RETAIL WAREHOUSE AND PREMISES,N,,0,0,N,N,Y
Ref:15296239881391,TRUSTEES OF GUARDIAN HOMES,,CAR PARK AT,,UNION STREET,ROCHDALE,LANCASHIRE,,OL16 1DY,01.04.2005,18250,CAR PARK,N,,0,0,N,N,N
Ref:1529624712931B,JCDECAUX UK LTD,,FROMER(GUARDIAN/TOWN & CITY),,UNION STREET,ROCHDALE,LANCASHIRE,,OL16 1DY,01.04.2005,3850,ADVERTISING STATION AND PREMISES,N,,0,0,N,N,N
Ref:15296294875925,DESERT FAST HEAVY EQUIPMENT,TRADING AND RENTAL UK LIMITED,,,3 UNION STREET,ROCHDALE,,,OL16 1DY,01.10.2021,9600,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:15296299168356,LIVING SUPPORT 4U LTD,,,,2 UNION STREET,ROCHDALE,LANCASHIRE,,OL16 1DY,08.11.2021,7900,OFFICE AND PREMISES,N,,0,0,Y,N,N
Ref:15359200020058,TIMPSON LTD,,,,1A THE WALK,ROCHDALE,LANCASHIRE,,OL16 1EP,01.04.2005,3600,SHOP AND PREMISES,N,,0,0,N,N,N
